,status,time,LoanOriginalAmount2,IsBorrowerHomeowner
756,0,101,0.5,1
757,0,1096,0.1205,1
758,1,578,0.5,1
759,0,1096,0.3,1
760,1,333,0.11,1
761,0,60,0.1,1
762,0,945,0.35,1
763,0,946,0.5,0
764,0,34,0.2,1
765,1,213,0.7,0
766,1,213,0.5,1
767,0,1071,2.0,0
768,1,244,0.3001,0
769,1,305,0.25,1
770,1,914,0.5,1
771,0,539,2.5,0
772,0,829,1.0,0
773,0,1096,0.305,0
774,0,311,0.34,1
775,0,475,0.3001,1
776,1,363,0.6,1
777,0,1096,0.3,0
778,0,731,0.26,0
779,0,882,0.4,1
780,0,237,0.75,1
781,0,1096,0.43,1
782,1,424,0.37,1
783,1,305,0.3,1
784,1,241,0.2,0
785,1,1218,0.18,1
786,1,333,0.5,1
787,1,211,0.175,0
788,0,578,0.3,1
789,0,1096,0.7,1
790,0,1092,0.255,1
791,0,1096,1.2,0
792,0,771,0.7,1
793,1,182,0.3001,1
794,0,371,0.2003,1
795,1,211,0.3,1
796,1,364,0.4,1
797,0,376,0.3,1
798,0,1096,0.95,0
799,1,394,0.5,0
800,0,475,0.17,1
801,0,974,1.0,1
802,0,1029,0.3,1
803,1,243,0.6,1
804,1,335,0.1,1
805,0,789,0.11,1
806,0,1096,1.0001,0
807,0,151,0.9,0
808,1,274,1.0,0
809,0,190,0.1,0
810,0,1008,0.15,1
811,1,364,0.25,1
812,0,1092,0.3,1
813,0,416,0.255,1
814,1,517,0.6,1
815,0,761,0.3,1
816,1,364,0.4,1
817,0,1096,0.18,0
818,0,623,0.66,1
819,0,964,0.25,1
820,0,335,0.5,1
821,0,1107,0.25,1
822,0,1096,1.0,1
823,0,728,0.3,1
824,0,946,0.33,0
825,0,160,0.3,1
826,0,1066,0.16,1
827,0,803,0.4,0
828,1,730,1.2,1
829,0,537,0.65,1
830,0,1035,0.1,1
831,0,1037,0.2425,1
832,0,1002,0.1,0
833,0,314,0.15,1
834,0,595,0.62,1
835,0,475,0.22,0
836,1,242,0.1,1
837,0,434,0.3,1
838,0,163,1.1,1
839,0,84,0.165,1
840,0,696,0.3,1
841,0,658,0.4,1
842,1,333,0.3,1
843,0,59,0.1,0
844,1,795,0.5,0
845,0,1096,0.13,1
846,1,182,0.8,0
847,1,182,0.5,0
848,0,1096,0.4,0
849,0,322,0.284,1
850,1,516,1.5,0
851,0,129,0.12,1
852,0,1105,1.52,0
853,1,516,0.16,1
854,0,1003,1.25,1
855,0,794,0.3,1
856,0,168,0.29,0
857,0,1096,0.2,0
858,0,1126,0.18,0
859,1,608,1.25,0
860,0,259,0.45,1
861,0,1096,0.5,0
862,1,701,0.7,0
863,0,127,0.255,1
864,0,982,0.5,1
865,0,827,0.15,1
866,0,563,1.0,0
867,0,953,0.2501,1
868,1,244,0.3,0
869,0,132,0.15,1
870,0,413,0.95,1
871,1,152,0.25,1
872,0,1071,0.3,1
873,0,139,0.3,1
874,0,675,0.125,1
875,0,98,0.3,0
876,0,847,0.8701,0
877,0,306,0.3,1
878,0,1096,0.7,1
879,0,145,0.2,0
880,0,155,0.255,1
881,0,1004,0.1,1
882,0,1096,0.5,1
883,0,261,1.0,1
884,0,1063,0.3,1
885,1,272,0.3,1
886,0,853,0.255,1
887,0,64,0.7,0
888,0,42,0.25,1
889,1,213,0.8,1
890,0,1096,0.2,1
891,0,1096,0.2,0
892,0,76,0.95,0
893,0,608,0.4999,1
